,Country,Population,Pop. Density (per sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita),Deathrate
0,Afghanistan,31056997,48.0,163.07,700.0,20.34
1,Albania,3581655,124.6,21.52,4500.0,5.22
2,Algeria,32930091,13.8,31.0,6000.0,4.61
4,Andorra,71201,152.1,4.05,19000.0,6.25
5,Angola,12127071,9.7,191.19,1900.0,24.2
7,Antigua and Barbuda,69108,156.0,19.46,11000.0,5.37
8,Argentina,39921833,14.4,15.18,11200.0,7.55
9,Armenia,2976372,99.9,23.28,3500.0,8.23
11,Australia,20264082,2.6,4.69,29000.0,7.51
12,Austria,8192880,97.7,4.66,30000.0,9.76
13,Azerbaijan,7961619,91.9,81.74,3400.0,9.75
15,Bahrain,698585,1050.5,17.27,16900.0,4.14
16,Bangladesh,147365352,1023.4,62.6,1900.0,8.27
17,Barbados,279912,649.5,12.5,15700.0,8.67
18,Belarus,10293011,49.6,13.37,6100.0,14.02
19,Belgium,10379067,340.0,4.68,29100.0,10.27
20,Belize,287730,12.5,25.69,4900.0,5.72
21,Benin,7862944,69.8,85.0,1100.0,12.22
23,Bhutan,2279723,48.5,100.44,1300.0,12.7
24,Bolivia,8989046,8.2,53.11,2400.0,7.53
25,Bosnia and Herzegovina,4498976,88.0,21.05,6100.0,8.27
26,Botswana,1639833,2.7,54.58,9000.0,29.5
27,Brazil,188078227,22.1,29.61,7600.0,6.17
29,Brunei,379444,65.8,12.61,18600.0,3.45
30,Bulgaria,7385367,66.6,20.55,7600.0,14.27
31,Burkina Faso,13902972,50.7,97.57,1100.0,15.6
32,Burma,47382633,69.8,67.24,1800.0,9.83
33,Burundi,8090068,290.7,69.29,600.0,13.46
34,Cambodia,13881427,76.7,71.48,1900.0,9.06
35,Cameroon,17340702,36.5,68.26,1800.0,13.47
36,Canada,33098932,3.3,4.75,29800.0,7.8
40,Chad,9944201,7.7,93.82,1200.0,16.38
41,Chile,16134219,21.3,8.8,9900.0,5.81
42,China,1313973713,136.9,24.18,5000.0,6.97
43,Colombia,43593035,38.3,20.97,6300.0,5.58
44,Comoros,690948,318.4,74.93,700.0,8.2
48,Costa Rica,4075261,79.8,9.95,9100.0,4.36
49,Cote d'Ivoire,17654843,54.8,90.83,1400.0,14.84
50,Croatia,4494749,79.5,6.84,10600.0,11.48
51,Cuba,11382820,102.7,6.33,2900.0,7.22
