,Country/Region,Date,Confirmed,Deaths,Recovered
0,Afghanistan,2/24/20,1,0,0
1,Afghanistan,2/25/20,1,0,0
2,Afghanistan,2/26/20,1,0,0
3,Afghanistan,2/27/20,1,0,0
4,Afghanistan,2/28/20,1,0,0
5,Afghanistan,2/29/20,1,0,0
6,Afghanistan,3/1/20,1,0,0
7,Afghanistan,3/10/20,5,0,0
8,Afghanistan,3/11/20,7,0,0
9,Afghanistan,3/12/20,7,0,0
10,Afghanistan,3/13/20,7,0,0
11,Afghanistan,3/14/20,11,0,0
12,Afghanistan,3/15/20,16,0,0
13,Afghanistan,3/16/20,21,0,1
14,Afghanistan,3/17/20,22,0,1
15,Afghanistan,3/18/20,22,0,1
16,Afghanistan,3/19/20,22,0,1
17,Afghanistan,3/2/20,1,0,0
18,Afghanistan,3/20/20,24,0,1
19,Afghanistan,3/21/20,24,0,1
20,Afghanistan,3/22/20,40,1,1
21,Afghanistan,3/23/20,40,1,1
22,Afghanistan,3/24/20,74,1,1
23,Afghanistan,3/25/20,84,2,2
24,Afghanistan,3/26/20,94,4,2
25,Afghanistan,3/27/20,110,4,2
26,Afghanistan,3/28/20,110,4,2
27,Afghanistan,3/29/20,120,4,2
28,Afghanistan,3/3/20,1,0,0
29,Afghanistan,3/30/20,170,4,2
30,Afghanistan,3/31/20,174,4,5
31,Afghanistan,3/4/20,1,0,0
32,Afghanistan,3/5/20,1,0,0
33,Afghanistan,3/6/20,1,0,0
34,Afghanistan,3/7/20,1,0,0
35,Afghanistan,3/8/20,4,0,0
36,Afghanistan,3/9/20,4,0,0
37,Afghanistan,4/1/20,237,4,5
38,Afghanistan,4/10/20,521,15,32
39,Afghanistan,4/11/20,555,18,32
40,Afghanistan,4/12/20,607,18,32
41,Afghanistan,4/13/20,665,21,32
42,Afghanistan,4/14/20,714,23,40
43,Afghanistan,4/15/20,784,25,43
44,Afghanistan,4/16/20,840,30,54
45,Afghanistan,4/17/20,906,30,99
46,Afghanistan,4/18/20,933,30,112
47,Afghanistan,4/19/20,996,33,131
48,Afghanistan,4/2/20,273,6,10
49,Afghanistan,4/20/20,1026,36,135
50,Afghanistan,4/21/20,1092,36,150
51,Afghanistan,4/22/20,1176,40,166
52,Afghanistan,4/23/20,1279,42,179
53,Afghanistan,4/24/20,1351,43,188
54,Afghanistan,4/25/20,1463,47,188
55,Afghanistan,4/26/20,1531,50,207
56,Afghanistan,4/27/20,1703,57,220
57,Afghanistan,4/28/20,1828,58,228
58,Afghanistan,4/29/20,1939,60,252
59,Afghanistan,4/3/20,281,6,10
60,Afghanistan,4/30/20,2171,64,260
61,Afghanistan,4/4/20,299,7,10
62,Afghanistan,4/5/20,349,7,15
63,Afghanistan,4/6/20,367,11,18
64,Afghanistan,4/7/20,423,14,18
65,Afghanistan,4/8/20,444,14,29
66,Afghanistan,4/9/20,484,15,32
67,Afghanistan,5/1/20,2335,68,310
68,Afghanistan,5/2/20,2469,72,331
69,Afghanistan,5/3/20,2704,85,345
70,Afghanistan,5/4/20,2894,90,397
71,Afghanistan,5/5/20,3224,95,421
72,Afghanistan,5/6/20,3392,104,458
73,Afghanistan,5/7/20,3563,106,468
74,Albania,3/10/20,10,0,0
